tpl_uuid,tpl_name
0001779ad4614e69a5075316aa4fa994,pecl-file_formats-yaml
00129bb50f94494c9839fbcf5bc622c7,libxcursor
0020f96493d0443985ceeb7e5bacd9e6,overpass-api
0025c8f1ff2e4768b2240610515b56d9,srb2
0029ede7ef1d45429f697779148604cc,diod
002c0e1e96554c2faa5ced0895cb7122,meep
002ea883cbdb40d889ccbdbe86cc9890,nginx-upstream-dynamic-servers
002f6d779a4f46d5bff10c5cd1abcc23,rtabmap
003070bb3f9343d3a7bf28c670d34328,mcufriend_kbv
003395bfc20f48c6bc899981af3619a9,lpcnet
0035e132e6224de79ca2be75cc48c49a,libpng-android
00360c9e506641f587ca958979b7c3a3,alisql
003c52ada5fc4e5a863d4cf2f805b536,gear-lib
003e8c574094419fb683ca4796a04adc,pyo
0048559f407c4ab5916b2333088ef17b,v2ray-desktop
004c5b2aa3bc4866abbd96726782a4f3,wuffs
004ff1855eac4b7d9c5368f5b0b22571,klein
005db7b07a8e4c20bd2d246b8dbbe98f,netcore_yoyofx
00627f32190545d4bccff6e52f643a69,gromacs
0063d6102ec941e3901fb1ff431bcf5d,dlpack
0064be6659fb40ffa9e97fdd7daa6991,pandas
006818192581407bbf5a51d520a226fd,rtklib
006a996337fa461a99c019b74ac4a8b6,osmose-emulator
0091f6bdc7fe4ca1a492bc32273f8bd7,miniblink49
00930fbff0f443d3926791dc8ebfb47d,flaxengine
0094d167bcb24951ad4b366f3ad5ef74,unqlite
0098a24d217b492c9de32b2c5675023f,owntone-server
00a42f0d92e2449da833e113726999ac,methanekit
00ac0c914ed04da48420971b1547244a,sniffit
00b35693a85543989bf9a6cd5a14a535,hexalate
00b999dc92fb4754b581949e5cb7c10c,uptimed
00ba3c31fe4e461ba4ac894198a8fcab,julia
00d9e7df21c64362b2d5ad653430896f,iguana
00de8a686c1d4673846d6fa72105420b,blingfire
00e20bacfb0a47369b55837278b4b826,seeed_arduino_can
00edbac0ae67411ab3617cfec30b46df,monitr
00f0699cc520473fabc98e6ad043fffd,multimon-ng
00f233cd4fcc4379a57fe3758e3800bc,dustrac
00f531285cc54f02a6d331faf052da5b,pinot
0112d4272995458990662d1be8d098b1,libagar
01179329164a4ba6b444ae04342dfc76,open-ps2-loader
01186f87ced3485993e10cc770ab4942,libusb-compat-0.1
011a0d4cc98741c0911a582971ed1b89,blurlib
011b39c5a8ee49cbaba906223146bad0,mspdebug
012197c3c5d6448a82f229b9320ff460,tensorflow
01235d301d9f4493862e547c5a8e04f7,webrtc-jingle-client
0125e3e9ff0f4f118916db6df1646415,solvespace
012a6b4464274251a5ab4ad6efa0bc53,mobilitydb
0130dae1e48144b89a62d8782ba4d7cc,libaudio-scan-perl
013406e911bb4595a98b3eb10ba1c692,ready
013f800ac1984f4b986f9a8f310946dd,pit
0142ffb030a34712a8fdbd363ee4e054,small-video-record
0143c9fce63441d78a88baaad4b66673,embox
0143deb1f4624241ac536ffe45e36436,Mudlet
014505d4b0364410a49b84ece99371e4,nodemcu-firmware
014bdec3fb6b48b4be746fcf1ea25b07,iir1
0151dd60180b4d51b106f5c6eab79e4b,media-server
01561561b3814c27a6c12c7f54e7addd,libhttpserver
016062866bd94df8bab87ed356b6b01b,nifti2dicom
0163f1bf4de74c9dac15e7c5160be87c,sensors-applet
016c04b994c0495aa6d9c2710ba6b020,php-cp
016dd786883a4a13ba07ae6f0327e394,cpm
0170065a2420467daa35ade53a986f05,alfalfa
01780b8c55b04f1292599dc17a26a115,avida
0178ebe526464492adc5a76eb54a2c60,node-mapnik
0182b269973a4c248fbe53df6a92c7d7,bigflow
018a0a4372414cd2b569b33d2b1fe0aa,jpegoptim
018ae3b6074042c8994975465816080e,euclidesdb
018e831da6284600a8ef28eab3ee28e7,quake-iii-arena-kenny-edition
0194d2c77d1e40c99a6092bc0950b469,liblbfgs
0199e764ab6a4da4814cbf4695a18481,decord
01a37abf0ab84bd8a666679a38b40f5a,libwdi
01affead4deb4e33a97760a5178aa796,astral
01b179b775604148b1a1de258dcfec39,orc
01b2db8097544564b8f894abbeac98ba,jupp
01ba446e4c004fcb8befb9589b91a06d,barnyard2
01bd207abbd8476aa418afd2f8da987b,hackrf-spectrum-analyzer
01c486071fac49c28671fb0fbb14b19e,ofsoftswitch13
01c73050fd8a4eddb64a7be54536db13,siege
01cc29ea49f34e10a1722d2b063abb37,tdbcmysql
01d06b524eaa4312908f4fc75ce47c11,freac
01d2a5b052d04a6bab929ba0b2754576,inclavare-containers
01d7a8f8b0c34cf186c43d933a296e32,rinetd
01d87c71262b4fbba7abb887a5c46972,protobuf
01dd32253b62414db4fb18b7c1858f52,devos
01e3fe9cae164609864bc2fdb5035083,exercises-solutions
01ecc8996d034063ba88cc75ffe44680,glmark2
0204c04c3ce8498b9f3a614973759bc1,dexdump
0208116170784496aa7e34980e13f1bd,zegrapher
0209ca32f2874d849a2c6f9e721dbfae,king-probe
021442ccdce14a23b857766b58ebbb7f,PROJ
02151a78afd847ddaff126a4947bf47a,jimtcl
021da2ca94ec46f79905716c47bb2717,semantic_suma
02210d77ae8c4a2eab340cbf07c26442,libinstpatch
02218838ad93459e939d3f7351255307,soul
